ANNO,CDPELL,CDSOTSEZ,CDGRUPAR,DATAACC,ACCONTO,NRRICEV,TIMESTP
2007,07,17,000292,20070724,   235.00,718      ,20070725215641062
2007,07,17,000292,20070725,   437.50,738      ,20070726173323859
2007,07,17,000292,20070809,   210.00,789      ,20070822170028312
2007,07,17,000301,20070710,   235.00,558      ,20070712184550562
2007,07,17,000314,20070818,   105.00,824      ,20070819164051390
2007,07,17,000326,20070721,   545.00,690      ,20070723113552140
2007,07,17,000341,02070821,  1340.00,884      ,20070822085204078
2007,07,17,000344,20060728,  3687.50,501      ,20070627112254015
2007,07,17,000344,20070614,  2010.00,447      ,20070624160406219
2007,07,17,000344,20070626,   335.00,499      ,20070626193952828
2007,07,17,000344,20070627,   235.00,500      ,20070626194039890
2007,07,17,000344,20070710,   335.00,551      ,20070712184946500
2007,07,17,000344,20070711,   117.50,547      ,20070712185420062
2007,07,17,000344,20070712,   335.00,583      ,20070712192756390
2007,07,17,000344,20070808,   310.00,781      ,20070809162241109
2007,07,17,000344,20070809,   105.00,782      ,20070809161010453
2007,07,17,000377,20070707,   670.00,539      ,20070822170421296
2007,07,17,000534,20070628,   335.00,510      ,20070629184851421
2007,07,17,000534,20070716,   210.00,634      ,20080109180626817
2007,07,17,000534,20070809,   210.00,787      ,20070809160317031
2007,07,17,000534,20070816,   420.00,832      ,20071116172111635
2007,07,17,000534,20070818,   105.00,822      ,20070819163925109
2007,07,17,000534,20070819,   235.00,847      ,20070819170149921
2007,07,17,000534,20070828,   210.00,899      ,20070828190448421
2007,07,17,000625,20071220,   235.00,3000     ,20080111102922594
2007,07,17,000660,20070724,   210.00,719      ,20070725215720031
2007,07,23,000023,20070724,   105.00,727      ,20070725220000687
2007,08,01,000001,20070810,   105.00,796      ,20070810111209625
2007,08,01,000111,20070819,   210.00,844      ,20070819165935703
2007,08,01,000201,20070817,   235.00,831      ,20070819164940203
2007,08,03,000003,20070729,   335.00,759      ,20070729162747515
2007,08,04,000004,20070609,   310.00,411      ,20070623172443719
2007,08,15,000015,20070818,   105.00,829      ,20070825112705573
2007,08,15,000362,20070819,   117.50,842      ,20070819165811828
2007,08,17,000003,20070717,   335.00,659      ,20070717162535312
2007,08,17,000003,20070723,   335.00,704      ,20070723120135140
2007,08,17,000013,20070818,   670.00,809      ,20070819163114906
2007,08,17,000013,20070819,   620.00,811      ,20070819163159625
2007,08,17,000017,20070722,    80.00,699      ,20070723115615562
2007,08,17,000017,20070728,     0.00,752      ,20071117093736077
2007,08,17,000017,20070808,    80.00,780      ,20071117092346140
2007,08,17,000017,20070809,    80.00,779      ,20070809162452593
2007,08,17,000017,20070818,   160.00,827      ,20070819164247953
2007,08,17,000017,20070819,   105.00,840      ,20070819165627703
2007,08,17,000017,20070820,   185.00,845      ,20070819170041234
2007,08,17,000031,20070609,   200.00,404      ,20070623165555516
2007,08,17,000031,20070625,   117.50,485      ,20070626170638875
2007,08,17,000031,20070719,   670.00,671      ,20071117105636615
2007,08,17,000031,20070722,   210.00,693      ,20070723113922921
2007,08,17,000031,20070828,   480.00,895      ,20071116170724114
2007,08,17,000040,20070628,    80.00,514      ,20070629185022375
2007,08,17,000040,20070712,   117.50,576      ,20070713112223968
2007,08,17,000040,20070719,  1257.50,683      ,20071117104502307
2007,08,17,000080,20070702,   335.00,519      ,20070702103804390
2007,08,17,000080,20070722,   452.50,698      ,20070723114232468
2007,08,17,000080,20070809,   210.00,786      ,20070809160547828
2007,08,17,000102,20070722,   210.00,697      ,20070723114142703
2007,08,17,000102,20070819,   222.50,839      ,20070819165549000
2007,08,17,000113,20070721,  1835.00,689      ,20070723113427265
2007,08,17,000120,20070726,  1010.00,732      ,20071117100410937
2007,08,17,000120,20070901,   117.50,920      ,20071116164903501
2007,08,17,000122,20070531,   225.50,318      ,20070623114136907
2007,08,17,000122,20070719,   210.00,670      ,20071117105908411
2007,08,17,000163,20070711,   117.50,563      ,20070712120305328
2007,08,17,000163,20070712,  1675.00,562      ,20070712120400265
2007,08,17,000163,20070722,   990.00,695      ,20070723114103812
2007,08,17,000163,20070728,   335.00,757      ,20070729162828453
2007,08,17,000163,20070729,   335.00,761      ,20070729162544890
2007,08,17,000163,20070730,  1695.00,752      ,20071117093828311
2007,08,17,000163,20070818,  1015.00,825      ,20070819164134109
2007,08,17,000170,20070801,   185.00,768      ,20070802180040218
2007,08,17,000191,20070729,   335.00,762      ,20070729162706281
2007,08,17,000191,20070818,   235.00,835      ,20070819165300937
2007,08,17,000191,20070819,   185.00,846      ,20070819170114156
2007,08,17,000196,20070726,  2390.00,735      ,20070726162750265
2007,08,17,000237,20070802,   235.00,770      ,20070802175818312
2007,08,17,000258,20070609,   335.00,420      ,20070624152823641
2007,08,17,000258,20070722,   335.00,692      ,20070723113830296
2007,08,17,000258,20070723,   420.00,703      ,20070723120044500
2007,08,17,000258,20070724,   787.50,706      ,20070723120251437
2007,08,17,000258,20070818,  1220.00,823      ,20070819164004375
2007,08,17,000258,20070819,   150.00,842      ,20070819160026671
2007,08,17,000258,20070820,   135.00,873      ,20071116171048883
2007,08,17,000258,20070927,   117.50,743      ,20070727110445796
2007,08,17,000261,20070818,   105.00,837      ,20070819165413453
2007,08,17,000264,20070719,   335.00,681      ,20071117105133759
2007,08,17,000265,20070628,   185.00,507      ,20070629184709515
2007,08,17,000265,20070818,   335.00,828      ,20070819164411531
2007,08,17,000271,20070628,   235.00,508      ,20070629184808984
2007,08,17,000271,20070803,   335.00,773      ,20070803111256656
2007,08,17,000271,20070922,   335.00,1002     ,20071116163740634
2007,08,17,000280,20070609,   335.00,409      ,20070623171849704
2007,08,17,000280,20070722,   335.00,694      ,20070723114009031
2007,08,17,000280,20070723,   335.00,716      ,20070725153638671
2007,08,17,000280,20070724,   335.00,717      ,20070725153602234
2007,08,17,000280,20070725,   335.00,715      ,20070725153707843
2007,08,17,000280,20070726,   335.00,737      ,20070726171444531
2007,08,17,000290,20070726,   185.00,741      ,20070727110559375
2007,08,17,000292,20070621,   613.50,470      ,20070624164631469
2007,08,17,000292,20070723,   105.00,705      ,20071117103348200
2007,08,17,000292,20070725,   185.00,741      ,20070726181153203
2007,08,17,000292,20070726,   222.50,739      ,20070727110739781
2007,08,17,000292,20070728,   335.00,763      ,20070729162635484
2007,08,17,000292,20070729,   335.00,755      ,20070729162449656
2007,08,17,000292,20070819,   930.00,841      ,20070819165711046
2007,08,17,000292,20071113,   911.50,1111     ,20071116162801154
2007,08,17,000292,20080818,  1080.00,820      ,20070819163738718
2007,08,17,000301,20070724,   670.00,714      ,20070725153809734
2007,08,17,000301,20070819,    92.50,843      ,20070819165855593
2007,08,17,000314,20070612,   235.00,431      ,20070624153213985
2007,08,17,000341,20070621,    80.00,465      ,20070624161934985
2007,08,17,000341,20070821,   335.00,885      ,20070822084942656
2007,08,17,000341,20070925,  1020.00,1012     ,20071002184336859
2007,08,17,000377,20070721,  1005.00,687      ,20070723113223078
2007,08,17,000534,20070817,   420.00,833      ,20070819165130453
2007,08,17,000534,20070819,   117.50,834      ,20070819165225000
2007,08,17,000534,20070830,   670.00,914      ,20070830185613578
2007,08,17,000534,20070901,     0.00,914      ,20071116165221558
2007,08,17,000539,20070701,   335.00,516      ,20070702103907921
2007,08,17,000625,20070818,   185.00,838      ,20070819165457125
2007,08,17,000660,20070818,   235.00,826      ,20070819164213015
2007,08,17,000661,20070723,   130.00,701      ,20070723115732687
2007,08,17,000661,20070912,   135.00,947      ,20071002185451625
2008,71,11,000027,20080710,   105.00,793      ,20080712092455952
2008,71,17,000017,20080710,   525.00,800      ,20080906094744339
2008,71,17,000040,20080716,   210.00,860      ,20080716140806836
2008,71,17,000059,20080710,   105.00,794      ,20080712092554861
2008,71,17,000080,20080630,   525.00,733      ,20080630171524330
2008,71,17,000092,20080716,   630.00,862      ,20080716140905885
2008,71,17,000102,20080716,   420.00,880      ,20080716143030643
2008,71,17,000120,20080710,   105.00,796      ,20080712092634097
