ANNO,CDPELL,CDSOCMZ,FLSETT,CDCTRA,QTCTRA,CDCPER,QTCPER,CDCRID,QTCRID,CDCALT,QTCALT,CDSERV,TMESTP
2007,04,000002044,E,0,0.00,5,310.00,0,0.00,0,0.00,03,20070521153832906
2007,04,000002051,E,1,25.00,6,335.00,0,0.00,0,0.00,01,20070524161415078
2007,04,000002052,2,R,12.50,9,150.00,0,0.00,0,0.00,02,20070524162608062
2007,04,000002059,E,1,25.00,6,335.00,0,0.00,0,0.00,01,20070524163231625
2007,04,000002060,E,1,25.00,6,335.00,0,0.00,0,0.00,03,20070524163429218
2007,04,000002117,E,1,25.00,8,295.00,0,0.00,0,0.00,02,20070524174747484
2007,04,000002223,E,1,25.00,5,310.00,0,0.00,0,0.00,03,20070727133556484
2007,04,000002230,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070529182440203
2007,04,000002248,E,1,25.00,6,335.00,0,0.00,0,0.00,03,20070524184816578
2007,04,000002250,E,1,25.00,6,335.00,0,0.00,0,0.00,01,20070525085812593
2007,04,000002319,2,R,12.50,9,150.00,0,0.00,0,0.00,02,20070526162540078
2007,04,000002660,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070820084839656
2007,04,000002663,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070820090907765
2007,04,000002666,1,0,0.00,1,105.00,0,0.00,0,0.00,02,20070820085009625
2007,04,000002674,1,0,0.00,9,150.00,0,0.00,0,0.00,02,20070526162845468
2007,04,000002676,E,1,25.00,8,295.00,0,0.00,0,0.00,03,20070524173958703
2007,04,000002679,E,1,25.00,6,335.00,0,0.00,0,0.00,01,20070524175157468
2007,04,000002681,E,1,25.00,8,295.00,0,0.00,0,0.00,02,20070524175555921
2007,04,000002693,E,1,25.00,8,295.00,0,0.00,0,0.00,02,20070525093147281
2007,04,000002769,E,0,0.00,6,335.00,0,0.00,0,0.00,01,20070611143055703
2007,04,000002770,E,0,0.00,6,335.00,0,0.00,0,0.00,03,20070611143251328
2007,04,000002771,E,0,0.00,6,335.00,0,0.00,0,0.00,01,20070611143434015
2007,04,000002772,E,0,0.00,6,335.00,0,0.00,0,0.00,03,20070611143640578
2007,04,000002775,E,0,0.00,6,335.00,0,0.00,0,0.00,01,20070612171534312
2007,04,000002793,E,1,25.00,2,310.00,4,0.00,0,0.00,01,20070820090753203
2007,05,000001016,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523171007921
2007,05,000001028,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070523165616250
2007,05,000001029,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523165758265
2007,05,000001032,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070623090433469
2007,05,000001048,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070623090323829
2007,05,000001050,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070623090359563
2007,05,000001051,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070523171111500
2007,05,000001058,E,1,25.00,3,210.00,0,235.00,0,0.00,02,20070727111653000
2007,05,000001061,1,0,0.00,1,105.00,0,0.00,0,0.00,02,20070523170308406
2007,05,000001071,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070821093448109
2007,05,000001098,E,1,25.00,2,310.00,0,335.00,0,0.00,01,20080111095842598
2007,05,000001100,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523163627984
2007,05,000001104,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523155443984
2007,05,000001109,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523165345421
2007,05,000001110,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20080109175455637
2007,05,000001112,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070821155317062
2007,05,000001113,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070526162115281
2007,05,000001120,E,1,25.00,2,310.00,0,0.00,0,0.00,03,20070523155156468
