ANNO,CDPELL,CDBUS,FLAGAR,POSTO,CDSOCMZ,TMESTP
2007,05,1,R,032,000001647,20070622200029657
2007,05,1,R,033,000001406,20070622200035969
2007,05,1,R,034,000001071,20070622200042579
2007,05,1,R,036,000001109,20070622200053907
2007,05,1,R,038,000001122,20070622200102782
2007,05,1,R,039,000001560,20070622200107235
2007,05,1,R,040,000001633,20070622200112235
2007,05,1,R,041,000001358,20070622200121735
2007,05,1,R,042,000001429,20070622200124719
2007,05,1,R,043,000001469,20070622200130704
2007,05,1,R,044,000001400,20070622200959657
2007,05,2,A,001,000001314,20070622200242704
2007,05,2,A,002,000002661,20070622200248094
2007,05,2,A,003,000001112,20070622200253110
2007,05,2,A,005,000001110,20070622200301188
2007,05,2,A,006,000001994,20070622200306454
2007,05,2,A,007,000001261,20070622200310547
2007,05,2,A,008,000001528,20070622200317516
2007,05,2,A,010,000001171,20070622200327735
2007,05,2,A,011,000001527,20070622200330657
2007,05,2,A,013,000001977,20070622200341172
2007,05,2,A,014,000001382,20070622200346657
2007,05,2,A,015,000001268,20070622200353860
2007,05,2,A,017,000001302,20070622200400688
2007,05,2,A,018,000001996,20070622200407157
2007,05,2,A,019,000001404,20070622200412094
2007,05,2,A,020,000001058,20070622200416719
2007,05,2,A,021,000002108,20070622200420625
2007,05,2,A,022,000001209,20070622200425469
2007,05,2,A,023,000001694,20070622200433094
2007,05,2,A,024,000001193,20070622200436625
2007,05,2,A,025,000002236,20070622200442219
2007,05,2,A,026,000001662,20070622200447985
2007,05,2,A,028,000001225,20070622200500172
2007,05,2,A,029,000001386,20070622200504610
2007,05,2,A,030,000001100,20070622200508079
2007,05,2,A,031,000002231,20070622200511344
2007,05,2,A,032,000001408,20070622200514532
2007,05,2,A,033,000002229,20070622200520485
2007,05,2,A,037,000001226,20070622200539079
2007,05,2,A,040,000002798,20070622200606500
2007,05,2,A,041,000002799,20070622200609469
2007,05,2,A,042,000002800,20070622200613938
2007,05,2,A,043,000002806,20070622200618516
2007,05,2,A,044,000002801,20070622200621891
2007,05,2,A,048,000001113,20070622200635329
2007,05,2,R,001,000001314,20070622200242704
2007,05,2,R,002,000002661,20070622200248094
2007,05,2,R,003,000001112,20070622200253110
2007,05,2,R,005,000001110,20070622200301188
2007,05,2,R,006,000001994,20070622200306454
2007,05,2,R,007,000001261,20070622200310547
2007,05,2,R,008,000001528,20070622200317516
2007,05,2,R,010,000001171,20070622200327735
2007,05,2,R,011,000001527,20070622200330657
2007,05,2,R,013,000001977,20070622200341172
2007,05,2,R,014,000001382,20070622200346657
2007,05,2,R,015,000001268,20070622200353860
2007,05,2,R,017,000001302,20070622200400688
2007,05,2,R,018,000001996,20070622200407157
2007,05,2,R,019,000001404,20070622200412094
2007,05,2,R,020,000001058,20070622200416719
2007,05,2,R,021,000002108,20070622200420625
2007,05,2,R,022,000001209,20070622200425469
2007,05,2,R,023,000001694,20070622200433094
2007,05,2,R,024,000001193,20070622200436625
2007,05,2,R,025,000002236,20070622200442219
2007,05,2,R,026,000001662,20070622200447985
2007,05,2,R,028,000001386,20070622200504625
2007,05,2,R,029,000001100,20070622200508079
2007,05,2,R,030,000001408,20070622200514532
2007,05,2,R,032,000001226,20070622200539079
2007,05,2,R,035,000002798,20070622200606500
2007,05,2,R,036,000002799,20070622200609469
2007,05,2,R,037,000002800,20070622200613938
2007,05,2,R,038,000002806,20070622200618516
2007,05,2,R,039,000002801,20070622200621891
2007,05,2,R,043,000001113,20070622200635329
2007,07,1,A,001,000002125,20070706192133171
2007,07,1,A,002,000001548,20070706192140750
2007,07,1,A,003,000001419,20070706192147125
2007,07,1,A,004,000001367,20070706192151671
2007,07,1,A,007,000001547,20070706192210500
2007,07,1,A,008,000001127,20070706192221843
2007,07,1,A,009,000001280,20070706192227812
